analysis_id,crtu78q812f115t
parameter_id,IMPC_HEM_031_001
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.5446275
parameter_name,Lymphocyte differential count
gene_symbol,Car13
mouse_life_stage,Early adult
