parameter_name,Calcium
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
analysis_id,bw0fpm4g116b94c
parameter_id,HMGULA_CBC_009_001
pvalue,0.408168
gene_symbol,Fgb
