parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,RR
analysis_id,zb6u2n14m2hew1k
gene_symbol,Toporsl
pvalue,0.8974498
