parameter_name,Respiration Rate
gene_accession_id,MGI:88328
pvalue,0.1631243
analysis_id,2aw3hk5n9gt5oo2
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
