analysis_id,516h77dt11053kp
pvalue,0.5438855
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,MGP_MLN_072_001
