analysis_id,31yq3hwv5ok56uv
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
parameter_name,Heart looping
pvalue,0.5265109
gene_symbol,Slc2a8
mouse_strain,C57BL
