analysis_id,v3xggeo72371np8
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
pvalue,0.6782672
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
