analysis_id,37k8c1y7j22ucv9
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,129SV
gene_symbol,Inpp1
parameter_name,UIBC (unsaturated iron binding capacity)
parameter_id,IMPC_CBC_024_001
pvalue,0.8056372
