parameter_name,Ly6Clow monocyte percentage
analysis_id,3qzsg94868qm7a0
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
gene_symbol,Atf3
pvalue,0.5809797
gene_accession_id,MGI:109384
mouse_strain,C57BL
