gene_symbol,Zcchc2
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:2444114
parameter_id,HRWLLA_OFD_020_001
analysis_id,9xloygv0g06vkl2
pvalue,0.269749
mouse_life_stage,Early adult
