gene_symbol,Gja10
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
analysis_id,3v20rb1vj927861
parameter_name,Joints
mouse_strain,C57BL
gene_accession_id,MGI:1339969
pvalue,0.09308968
