analysis_id,d4798la9i043554
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_id,HRWLLA_OFD_007_001
pvalue,0.4761103
gene_symbol,Ufc1
mouse_strain,C57BL
parameter_name,Whole arena resting time
