parameter_name,B cell percentage
gene_symbol,Kdm4c
analysis_id,6492215bu90e6ya
pvalue,0.5483599
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
