gene_symbol,Ppp6c
pvalue,0.6888342
parameter_name,Neutrophil differential count
mouse_strain,C56BL
gene_accession_id,MGI:1915107
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
analysis_id,8186qcpi99k0cev
