parameter_name,HDL-cholesterol
analysis_id,34ywz0ya7y91v03
mouse_strain,C57BL
gene_accession_id,MGI:1309468
pvalue,0.1968856
parameter_id,HMGULA_CBC_016_001
gene_symbol,Casq1
mouse_life_stage,Early adult
