parameter_name,center - distance
analysis_id,7ke389x6q19ya1k
gene_symbol,Zfp683
parameter_id,M-G-P_007_001_010
pvalue,0.7273123
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
