analysis_id,152x9jkb6o37i18
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,UCDLA_EYE_017_001
gene_symbol,Slc30a4
pvalue,0.8525017
parameter_name,Lens Opacity
