parameter_name,Vibrissae - appearance
analysis_id,6m2k3nx8992926s
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1274787
pvalue,0.7049264
gene_symbol,Trdmt1
parameter_id,HMGULA_DYS_024_001
