analysis_id,wa02ek3c4n4h772
parameter_id,MGP_PBI_016_001
pvalue,0.9354455
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_name,Monocyte percentage
gene_symbol,Toporsl
mouse_strain,C57BL
