analysis_id,a25rpuvr0xex7vp
gene_symbol,Zfp683
parameter_name,PP1 startle magnitude
pvalue,0.6346363
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3650254
