parameter_name,Caudal processes
mouse_strain,C57BL
pvalue,0.2645183
mouse_life_stage,Late adult
parameter_id,IMPC_XRY_067_001
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
analysis_id,27p96w4j76053s1
