gene_symbol,Etfdh
parameter_id,IMPC_GEL_063_001
analysis_id,5k9xta896l91825
parameter_name,Delayed embryonic development
mouse_strain,C57BL
gene_accession_id,MGI:106100
pvalue,0.7004836
mouse_life_stage,Early adult
