parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
gene_symbol,Sprr1b
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
pvalue,0.5640141
analysis_id,9v61830ek6if491
