parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
parameter_name,Total cholesterol
analysis_id,32q1sls8h5y0d6s
pvalue,0.7369533
gene_symbol,Lpgat1
