parameter_id,JAXLA_DXA_007_001
gene_symbol,Lpgat1
parameter_name,BMC/Body weight
analysis_id,159i86tr5j3c45g
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.5776765
