analysis_id,82aul509a7p8ec8
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
gene_symbol,Frmpd1
parameter_id,ESLIM_016_001_005
mouse_strain,C57BL
parameter_name,Mean cell volume
pvalue,0.8025617
