parameter_name,Lean mass
pvalue,0.788257
gene_accession_id,MGI:2446186
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,JAXLA_DXA_003_001
analysis_id,r1g7dvm49bmd895
mouse_life_stage,E18.5
