analysis_id,7f092h66rn1w012
parameter_name,Glucose response AUC
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_symbol,Kcng1
pvalue,0.8574581
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
