analysis_id,g5oks8c26v8y24n
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:1860103
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1843545
gene_symbol,Slc2a8
parameter_name,Fat/Body weight
