analysis_id,h2hgj4epnh7w310
mouse_life_stage,E12.5
pvalue,0.205211
gene_symbol,Mecom
parameter_id,MGP_MLN_006_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
gene_accession_id,MGI:95457
