parameter_name,Hindlimb digit - size
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
analysis_id,z06gyiz08t27741
pvalue,0.3503718
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
gene_symbol,Lpgat1
