parameter_name,lens
gene_symbol,Dnajc6
analysis_id,p4qal993gjo41o7
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8220193
gene_accession_id,MGI:1919935
parameter_id,M-G-P_014_001_009
