analysis_id,5403xv862kf4ktf
mouse_strain,C57BL
pvalue,0.4294106
gene_symbol,Slx4ip
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
parameter_id,IMPC_EYE_009_001
