analysis_id,2ynxugv23epuq9l
mouse_life_stage,E18.5
gene_symbol,Ola1
mouse_strain,C57BL
pvalue,0.9864732
gene_accession_id,MGI:1914309
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
