analysis_id,dwof4j281p584gt
mouse_strain,129SV
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
pvalue,0.5520756
parameter_name,Chloride
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
