parameter_id,MGP_PBI_027_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,1.15146
analysis_id,59h480m361vn7tx
parameter_name,NK cell number
mouse_life_stage,Early adult
