analysis_id,r46np79u7up37kk
mouse_strain,C57BL
parameter_name,Weight
gene_accession_id,MGI:1918345
parameter_id,M-G-P_005_001_001
pvalue,0.7329407
gene_symbol,Kif24
mouse_life_stage,Early adult
