analysis_id,29yqy814320ow69
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
mouse_strain,C57BL
parameter_name,Basophil cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
pvalue,0.1739766
