parameter_name,Vitreous
mouse_strain,C57BL
pvalue,0.1250949
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
analysis_id,244390n1d5j4m2d
parameter_id,UCDLA_EYE_083_001
