parameter_name,HR
mouse_strain,C57BL
analysis_id,9tg9u90i5g5x4h4
gene_accession_id,MGI:88071
pvalue,0.7971425
mouse_life_stage,Early adult
gene_symbol,Arnt
parameter_id,IMPC_ECG_002_001
