analysis_id,4ko5q25q30ge859
mouse_strain,C57BL
parameter_name,110dB startle magnitude
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
pvalue,0.4729575
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
