parameter_name,Limb grasping
analysis_id,29i860u80oyc1lp
parameter_id,ESLIM_008_001_017
mouse_strain,C57BL
gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
pvalue,0.852325
