gene_symbol,Gja10
pvalue,0.1798791
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1339969
analysis_id,83258o0e321384i
mouse_life_stage,Early adult
parameter_name,Eyelid morphology
