analysis_id,px4c309105t26mh
parameter_id,IMPC_EYE_062_001
gene_symbol,Rgs20
parameter_name,Right total retinal thickness
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
pvalue,0.7955176
