parameter_name,Total cholesterol
analysis_id,770u9rfr514m0wv
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
gene_symbol,Golm2
pvalue,0.8425196
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
