gene_symbol,Extl1
pvalue,0.2245558
mouse_strain,C57BL
gene_accession_id,MGI:1888742
analysis_id,tb4644on2h05970
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_703
