parameter_id,IMPC_XRY_007_001
analysis_id,wz442x4s1ojh19s
parameter_name,Clavicle
gene_accession_id,MGI:3026886
pvalue,0.09844214
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cdin1
