gene_symbol,Sgip1
pvalue,0.7196961
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
analysis_id,18s8noz5270t920
gene_accession_id,MGI:1920344
parameter_name,Eye
