analysis_id,11q2vyc9h43fcwl
pvalue,0.9982995
parameter_id,MGP_PBI_018_001
gene_symbol,Zcchc2
parameter_name,Ly6Clow monocyte percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
