gene_symbol,Inpp1
pvalue,0.2638954
analysis_id,ib22cm0of8f2kl8
mouse_strain,C57BL
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_DXA_009_001
