analysis_id,0g64183d58z5cwx
mouse_strain,C57BL
parameter_id,IMPC_EYE_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
parameter_name,Eye
pvalue,0.8688295
gene_symbol,Tbl1xr1
