analysis_id,bae3046ca8g1g08
gene_symbol,Bcs1l
parameter_name,Retina (combined)
mouse_life_stage,E9.5
parameter_id,IMPC_EYE_092_002
pvalue,0.4828086
gene_accession_id,MGI:1914071
mouse_strain,C57BL
