gene_symbol,Galk2
gene_accession_id,MGI:1917226
parameter_name,DN CD25- NKT cells
pvalue,0.6469401
analysis_id,3wqg1i9c7q39704
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
mouse_strain,C57BL
