gene_symbol,Atf3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:109384
analysis_id,rmq2492mb34voab
pvalue,0.7467493
