parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
parameter_name,Response amplitude - S
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,qb146q1cxs6yxv7
pvalue,0.58663
