parameter_name,Total T cell percentage
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
pvalue,0.6754785
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,MGP_PBI_001_001
analysis_id,9ba1q06p80431j3
