parameter_id,IMPC_ECG_003_001
mouse_life_stage,Late adult
analysis_id,t578a633y78vn5b
mouse_strain,C57BL
pvalue,0.8693665
parameter_name,CV
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
