gene_symbol,Bcs1l
analysis_id,ex9v35t6sy16730
parameter_name,Effector NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_id,MGP_IMM_099_001
pvalue,0.7585366
