analysis_id,144jii4clx9h434
parameter_name,Basophil cell count
mouse_life_stage,Early adult
gene_symbol,Ola1
mouse_strain,C57BL
pvalue,0.911339
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:1914309
