parameter_name,Center average speed
gene_symbol,Opn3
pvalue,0.5119534
mouse_strain,C57BL
analysis_id,5440i2k1b7zi9i9
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_id,JAXLA_OFD_017_001
