analysis_id,267m79gd5rg05o3
parameter_name,ST
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
pvalue,0.1177006
mouse_life_stage,Early adult
