mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
pvalue,0.5432571
gene_symbol,AU040320
mouse_life_stage,Late adult
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:2140475
analysis_id,dwhnf0yx6j08486
