parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
pvalue,0.1638513
parameter_name,T cells - % of CD45+
analysis_id,83jf8moqrpi769d
mouse_strain,C57BL
