analysis_id,90xl1jc0e70600x
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:3616086
parameter_id,HMGULA_DYS_024_001
pvalue,0.2044692
mouse_life_stage,Early adult
gene_symbol,Kcng1
